condition,translocation,level,category,n_bins,k_bins,fraction,expected_fraction,p_value,log2_odds_ratio	
T1,Der(17)t(3	17),subcompartment,other,1100,641,0.5827272727272728,0.5071872150084683,5.340419816080952e-07,0.44035159048707334
T1,Der(17)t(3	17),subcompartment,retained,1100,441,0.4009090909090909,0.4928127849915317,1.0161772934199214e-09,-0.5380211965429046
T1,Der(17)t(3	17),subcompartment,adopted,1100,18,0.016363636363636365,0.0,0.0,14.022010308450353
T1,Der(17)t(3	17),collapsed,retained,1100,830,0.7545454545454545,0.8717592391540365,5.542307880984719e-26,-1.1449133386044947
T1,Der(17)t(3	17),collapsed,other,1100,249,0.22636363636363635,0.12824076084596345,3.8720064112672935e-19,0.9920518786636037
T1,Der(17)t(3	17),collapsed,adopted,1100,21,0.019090909090909092,0.0,0.0,14.248408352671932
T1,Der(17)t(3	17),direction,retained,1100,830,0.7545454545454545,0.8717592391540365,5.542307880984719e-26,-1.1449133386044947
T1,Der(17)t(3	17),direction,B_to_A,1100,249,0.22636363636363635,0.04963738220350024,3.1031461131286183e-90,2.485938220299483
T1,Der(17)t(3	17),direction,A_to_B,1100,21,0.019090909090909092,0.0786033786424632,8.253066378586381e-18,-2.132019370699237
T1,Der(3)t(3	17),subcompartment,other,1538,1073,0.6976592977893368,0.5071872150084683,9.648174562082651e-52,1.1648688411776742
T1,Der(3)t(3	17),subcompartment,retained,1538,455,0.2958387516254877,0.4928127849915317,1.851046852874773e-55,-1.2096161788582112
T1,Der(3)t(3	17),subcompartment,adopted,1538,10,0.006501950585175552,0.0,0.0,12.676069422195432
T1,Der(3)t(3	17),collapsed,retained,1538,1040,0.6762028608582574,0.8717592391540365,1.3631111610141465e-87,-1.7026993847322203
T1,Der(3)t(3	17),collapsed,other,1538,449,0.2919375812743823,0.12824076084596345,4.0474877574600904e-64,1.4868486620954036
T1,Der(3)t(3	17),collapsed,adopted,1538,49,0.03185955786736021,0.0,0.0,15.006151846025455
T1,Der(3)t(3	17),direction,retained,1538,1040,0.6762028608582574,0.8717592391540365,1.3631111610141465e-87,-1.7026993847322203
T1,Der(3)t(3	17),direction,A_to_B,1538,449,0.2919375812743823,0.0786033786424632,1.3878369690990835e-133,2.2729256865599043
T1,Der(3)t(3	17),direction,B_to_A,1538,49,0.03185955786736021,0.04963738220350024,0.0007996455667950559,-0.6664665601743355
T1,t(6	19),subcompartment,retained,1881,949,0.5045188729399256,0.4928127849915317,0.31040329105847553,0.06755674416452745
T1,t(6	19),subcompartment,other,1881,698,0.37107921318447634,0.5071872150084683,2.0007645133681035e-32,-0.8026297431081879
T1,t(6	19),subcompartment,adopted,1881,234,0.12440191387559808,0.0,0.0,17.116309897164953
T1,t(6	19),collapsed,retained,1881,1630,0.8665603402445508,0.8717592391540365,0.4905278318389293,-0.06595257387785478
T1,t(6	19),collapsed,other,1881,193,0.10260499734183945,0.12824076084596345,0.0007187719002946404,-0.3635768806358549
T1,t(6	19),collapsed,adopted,1881,58,0.03083466241360978,0.0,0.0,14.957452185189599
T1,t(6	19),direction,retained,1881,1630,0.8665603402445508,0.8717592391540365,0.4905278318389293,-0.06595257387785478
T1,t(6	19),direction,A_to_B,1881,193,0.10260499734183945,0.0786033786424632,0.0001896785180345617,0.42250014382864587
T1,t(6	19),direction,B_to_A,1881,58,0.03083466241360978,0.04963738220350024,8.145746712513542e-05,-0.7151662210101924
C1,t(2	10),subcompartment,retained,2137,1104,0.516612072999532,0.4379607467687889,2.987618233468453e-13,0.455768512651451
C1,t(2	10),subcompartment,other,2137,914,0.42770238652316334,0.5620392532312111,1.6500205700182014e-35,-0.7800269278986717
C1,t(2	10),subcompartment,adopted,2137,119,0.05568554047730463,0.0,0.0,15.847677327628654
C1,t(2	10),collapsed,retained,2137,1850,0.8656995788488535,0.8389181426519866,0.0006370746581372065,0.3076738267427254
C1,t(2	10),collapsed,other,2137,180,0.08423022929340196,0.1610818573480134,1.8511020087020334e-25,-1.0618461392810699
C1,t(2	10),collapsed,adopted,2137,107,0.0500701918577445,0.0,0.0,15.685772999119546
C1,t(2	10),direction,retained,2137,1850,0.8656995788488535,0.8389181426519866,0.0006370746581372065,0.3076738267427254
C1,t(2	10),direction,B_to_A,2137,180,0.08423022929340196,0.0672091910004787,0.0024584931487170534,0.3522282742107826
C1,t(2	10),direction,A_to_B,2137,107,0.0500701918577445,0.0938726663475347,6.666432828265248e-14,-0.974874033014761
C1,Der(17)t(3	17),subcompartment,other,1100,784,0.7127272727272728,0.5620392532312111,1.0452144644046084e-24,0.9510604983846276
C1,Der(17)t(3	17),subcompartment,retained,1100,306,0.2781818181818182,0.4379607467687889,9.727363908540292e-28,-1.0157387567244531
C1,Der(17)t(3	17),subcompartment,adopted,1100,10,0.00909090909090909,0.0,0.0,13.16338583018749
C1,Der(17)t(3	17),collapsed,retained,1100,831,0.7554545454545455,0.8389181426519866,1.2642607689537097e-12,-0.7534864971516476
C1,Der(17)t(3	17),collapsed,adopted,1100,233,0.21181818181818182,0.0,0.0,18.035867977978754
C1,Der(17)t(3	17),collapsed,other,1100,36,0.03272727272727273,0.1610818573480134,1.9593787122535146e-42,-2.504628597601648
C1,Der(17)t(3	17),direction,retained,1100,831,0.7554545454545455,0.8389181426519866,1.2642607689537097e-12,-0.7534864971516476
C1,Der(17)t(3	17),direction,B_to_A,1100,233,0.21181818181818182,0.0672091910004787,7.457908866893906e-55,1.899101177190398
C1,Der(17)t(3	17),direction,A_to_B,1100,36,0.03272727272727273,0.0938726663475347,4.342689684251856e-15,-1.6144344154557455
C1,Der(3)t(3	17),subcompartment,other,1538,1151,0.7483745123537061,0.5620392532312111,7.769779212182113e-52,1.2126137646851942
C1,Der(3)t(3	17),subcompartment,retained,1538,350,0.22756827048114434,0.4379607467687889,1.9254088291314025e-66,-1.4032394112326816
C1,Der(3)t(3	17),subcompartment,adopted,1538,37,0.024057217165149546,0.0,0.0,14.589315154057356
C1,Der(3)t(3	17),collapsed,retained,1538,1124,0.7308192457737321,0.8389181426519866,8.010464826207788e-27,-0.9397894372179174
C1,Der(3)t(3	17),collapsed,other,1538,353,0.229518855656697,0.1610818573480134,3.3189031360060978e-12,0.6335818300933338
C1,Der(3)t(3	17),collapsed,adopted,1538,61,0.03966189856957087,0.0,0.0,15.333853261490555
C1,Der(3)t(3	17),direction,retained,1538,1124,0.7308192457737321,0.8389181426519866,8.010464826207788e-27,-0.9397894372179174
C1,Der(3)t(3	17),direction,A_to_B,1538,353,0.229518855656697,0.0938726663475347,1.2513096642291514e-55,1.5237760122392359
C1,Der(3)t(3	17),direction,B_to_A,1538,61,0.03966189856957087,0.0672091910004787,5.362972754579631e-06,-0.8029135392978021
C1,t(6	19),subcompartment,retained,1881,1010,0.5369484316852738,0.4379607467687889,7.841711279893946e-18,0.5734792636404965
C1,t(6	19),subcompartment,other,1881,676,0.3593833067517278,0.5620392532312111,9.67063169194467e-70,-1.1938065887263922
C1,t(6	19),subcompartment,adopted,1881,195,0.10366826156299841,0.0,0.0,16.819511511368766
C1,t(6	19),collapsed,retained,1881,1615,0.8585858585858586,0.8389181426519866,0.020254882138294596,0.22130721181145743
C1,t(6	19),collapsed,other,1881,172,0.09144072301967039,0.1610818573480134,1.8385483998057184e-18,-0.9319431216921703
C1,t(6	19),collapsed,adopted,1881,94,0.049973418394471024,0.0,0.0,15.682834959195132
C1,t(6	19),direction,retained,1881,1615,0.8585858585858586,0.8389181426519866,0.020254882138294596,0.22130721181145743
C1,t(6	19),direction,A_to_B,1881,172,0.09144072301967039,0.0938726663475347,0.7518306634723345,-0.04174893954626796
C1,t(6	19),direction,B_to_A,1881,94,0.049973418394471024,0.0672091910004787,0.0023365968088678293,-0.45393184159322486
